iter	Passed	Remaining
417	763	1063
418	765	1061
419	767	1059
420	768	1057
421	770	1055
422	771	1052
423	773	1050
424	775	1049
425	777	1047
426	778	1045
427	780	1042
428	783	1042
429	784	1040
430	786	1038
431	788	1037
432	791	1035
433	792	1033
434	794	1031
435	795	1029
436	797	1026
437	799	1025
438	800	1022
439	801	1020
440	803	1018
441	805	1016
442	807	1014
443	808	1012
444	810	1010
445	812	1008
446	814	1007
447	815	1005
448	816	1002
449	818	999
450	819	998
451	821	995
452	822	993
453	823	990
454	825	988
455	827	986
456	829	985
457	830	983
458	832	981
459	834	979
460	836	978
461	837	975
462	839	973
463	840	970
464	842	969
465	844	967
466	845	964
467	846	962
468	847	959
469	849	958
470	851	956
471	852	953
472	853	951
473	855	949
474	856	947
475	858	945
476	860	943
477	861	941
478	863	939
479	865	937
480	867	935
481	868	933
482	870	932
483	872	930
484	873	927
485	875	925
486	876	923
487	877	920
488	879	918
489	880	916
490	881	914
491	883	911
492	884	909
493	886	908
494	888	906
495	890	904
496	891	902
497	893	900
498	895	898
499	896	896
500	898	894
501	900	893
502	902	891
503	903	889
504	905	887
505	906	885
506	908	882
507	909	881
508	911	878
509	912	876
510	914	875
511	916	873
512	917	871
513	918	868
514	920	866
515	922	864
516	923	863
517	925	861
518	926	859
519	928	857
520	930	855
521	932	853
522	933	851
523	934	849
524	936	847
525	938	845
526	940	843
527	941	841
528	942	839
529	944	837
530	945	835
531	946	833
532	948	830
533	949	828
534	952	827
535	954	826
536	955	824
537	956	821
538	958	819
539	960	818
540	961	816
541	963	813
542	964	811
543	965	809
544	967	807
545	968	805
546	969	803
547	971	801
548	972	798
549	974	797
550	975	795
551	977	793
552	978	790
553	979	788
554	981	786
555	982	784
556	983	782
557	985	780
558	986	778
559	987	776
560	989	774
561	990	772
562	992	770
563	993	767
564	994	765
565	996	764
566	998	762
567	999	760
568	1000	757
569	1002	755
570	1003	754
571	1006	752
572	1007	750
573	1009	749
574	1011	747
575	1012	745
576	1014	743
577	1016	741
578	1017	740
579	1019	738
580	1021	736
581	1022	734
582	1024	732
583	1026	731
584	1028	729
585	1029	727
586	1031	725
587	1032	723
588	1034	722
589	1036	720
590	1038	718
591	1039	716
592	1041	715
593	1043	713
594	1044	711
595	1047	709
596	1049	708
597	1051	706
598	1052	704
599	1053	702
600	1055	700
601	1057	699
602	1059	697
603	1060	695
604	1062	693
605	1064	691
606	1066	690
607	1067	688
608	1069	686
609	1071	685
610	1073	683
611	1074	681
612	1075	679
613	1078	677
614	1080	676
615	1082	674
616	1083	672
617	1085	671
618	1087	669
619	1088	667
620	1090	665
621	1091	663
622	1093	661
623	1095	660
624	1097	658
625	1098	656
626	1100	654
627	1102	653
628	1103	650
629	1104	648
630	1107	647
631	1109	646
632	1111	644
633	1112	642
634	1114	640
635	1116	639
636	1118	637
637	1119	635
638	1121	633
639	1123	631
640	1125	630
641	1126	628
642	1127	626
643	1129	624
644	1131	622
645	1133	620
646	1134	618
647	1136	617
648	1137	615
649	1139	613
650	1140	611
651	1141	609
652	1143	607
653	1145	606
654	1147	604
655	1148	602
656	1149	600
657	1151	598
658	1153	596
659	1154	594
660	1156	592
661	1157	591
662	1159	589
663	1161	587
664	1163	586
665	1164	584
666	1166	582
667	1167	580
668	1169	578
669	1171	576
670	1172	575
671	1175	573
672	1176	571
673	1178	569
674	1181	568
675	1183	567
676	1184	565
677	1187	563
678	1190	562
679	1192	561
680	1193	559
681	1195	557
682	1197	555
683	1199	554
684	1200	552
685	1202	550
686	1204	548
687	1206	547
688	1208	545
689	1209	543
690	1211	541
691	1213	540
692	1215	538
693	1217	536
694	1219	535
695	1221	533
696	1222	531
697	1223	529
698	1225	527
699	1227	526
700	1229	524
701	1230	522
702	1231	520
703	1233	518
704	1235	516
705	1236	514
706	1237	512
707	1238	510
708	1240	509
709	1241	507
710	1243	505
711	1244	503
712	1245	501
713	1246	499
714	1248	497
715	1249	495
716	1251	493
717	1252	491
718	1253	489
719	1254	488
720	1256	486
721	1257	484
722	1259	482
723	1260	480
724	1261	478
725	1263	476
726	1264	474
727	1266	473
728	1267	471
729	1268	469
730	1271	467
731	1273	466
732	1274	464
733	1275	462
734	1277	460
735	1279	458
736	1280	457
737	1282	455
738	1284	453
739	1286	451
740	1288	450
741	1290	448
742	1292	446
743	1295	445
744	1297	444
745	1298	442
746	1301	440
747	1303	439
748	1305	437
749	1307	435
750	1310	434
751	1312	432
752	1313	430
753	1315	429
754	1317	427
755	1319	425
756	1321	424
757	1323	422
758	1325	420
759	1327	419
760	1330	417
761	1332	416
762	1333	414
763	1335	412
764	1337	410
765	1341	409
766	1343	408
767	1346	406
768	1348	405
769	1350	403
770	1352	401
771	1354	400
772	1356	398
773	1358	396
774	1360	394
775	1362	393
776	1364	391
777	1366	389
778	1368	388
779	1370	386
780	1371	384
781	1373	382
782	1375	381
783	1379	380
784	1380	378
785	1383	376
786	1385	374
787	1386	373
788	1388	371
789	1389	369
790	1391	367
791	1392	365
792	1394	363
793	1395	362
794	1397	360
795	1399	358
796	1400	356
797	1402	355
798	1406	353
799	1408	352
800	1409	350
801	1411	348
802	1413	346
803	1415	345
804	1416	343
805	1418	341
806	1420	339
807	1422	338
808	1424	336
809	1425	334
810	1427	332
811	1429	330
812	1430	329
813	1432	327
814	1434	325
815	1435	323
816	1437	322
817	1439	320
818	1441	318
819	1443	316
820	1445	315
821	1446	313
822	1447	311
823	1449	309
824	1451	307
825	1453	306
826	1454	304
827	1456	302
828	1458	300
829	1459	299
830	1461	297
831	1464	295
832	1465	293
833	1466	291
834	1468	290
835	1469	288
836	1471	286
837	1473	284
838	1474	282
839	1475	281
840	1478	279
841	1480	277
842	1481	276
843	1483	274
844	1484	272
845	1486	270
846	1487	268
847	1489	266
848	1490	265
849	1491	263
850	1493	261
851	1495	259
852	1496	257
853	1497	256
854	1499	254
855	1500	252
856	1502	250
857	1504	248
858	1505	247
859	1506	245
860	1508	243
861	1509	241
862	1511	239
863	1512	238
864	1513	236
865	1515	234
866	1517	232
867	1518	230
868	1519	229
869	1521	227
870	1523	225
871	1524	223
872	1525	221
873	1527	220
874	1528	218
875	1529	216
876	1531	214
877	1532	212
878	1533	211
879	1535	209
880	1536	207
881	1538	205
882	1539	203
883	1540	202
884	1541	200
885	1543	198
886	1544	196
887	1546	195
888	1547	193
889	1548	191
890	1549	189
891	1551	187
892	1552	186
893	1553	184
894	1555	182
895	1556	180
896	1557	178
897	1558	177
898	1560	175
899	1561	173
900	1563	171
901	1564	169
902	1565	168
903	1566	166
904	1568	164
905	1569	162
906	1570	161
907	1571	159
908	1573	157
909	1574	155
910	1576	153
911	1577	152
912	1578	150
913	1579	148
914	1581	146
915	1582	145
916	1583	143
917	1585	141
918	1586	139
919	1587	138
920	1588	136
921	1590	134
922	1591	132
923	1592	131
924	1594	129
925	1595	127
926	1596	125
927	1598	124
928	1599	122
929	1601	120
930	1602	118
931	1603	116
932	1620	116
933	1622	114
934	1623	112
935	1624	111
936	1625	109
937	1627	107
938	1628	105
939	1629	104
940	1631	102
941	1632	100
942	1633	98
943	1634	96
944	1636	95
945	1637	93
946	1639	91
947	1640	89
948	1641	88
949	1642	86
950	1644	84
951	1645	82
952	1646	81
953	1647	79
954	1648	77
955	1650	75
956	1651	74
957	1652	72
958	1654	70
959	1655	68
960	1656	67
961	1657	65
962	1658	63
963	1660	61
964	1661	60
965	1662	58
966	1663	56
967	1664	55
968	1666	53
969	1668	51
970	1669	49
971	1670	48
972	1671	46
973	1672	44
974	1674	42
975	1675	41
976	1676	39
977	1678	37
978	1679	36
979	1680	34
980	1681	32
981	1683	30
982	1684	29
983	1685	27
984	1686	25
985	1687	23
986	1689	22
987	1690	20
988	1691	18
989	1692	17
990	1693	15
991	1695	13
992	1696	11
993	1697	10
994	1698	8
995	1700	6
996	1701	5
997	1702	3
998	1703	1
999	1705	0
